# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	16305
#@/user_id	795262db-87d0-4783-b0bf-776301b58950
a 	啊	c=234 d=2.55875 t=16075
hou mian shi shen me 	後面是什麼	c=1 d=1 t=10358
hou pai 	後排	c=1 d=1 t=1817
hou qin 	後勤	c=2 d=1.99501 t=5271
hou xu 	後續	c=0 d=0.1 t=16069
hou xuan 	候選	c=1 d=1 t=2589
hu 	胡	c=1 d=1.02923 t=12376
hu kou 	戶口	c=1 d=1 t=15256
hu si luan xiang 	胡思亂想	c=0 d=0.1 t=7255
hu zhong hua 	胡中華	c=1 d=1 t=12131
hu zuo hu you 	忽左忽右	c=1 d=1 t=579
hua 	話	c=22 d=1.19296 t=15791
hua gong 	化工	c=1 d=1 t=6353
hua hai 	花海	c=1 d=1 t=11164
hua jiao 	花轎	c=0 d=0.1 t=11152
hua lian 	華聯	c=0 d=0.1 t=7532
hua na 	花那	c=0 d=0.1 t=13964
hua shuo 	話說	c=3 d=1 t=10972
hua suan 	划算	c=1 d=1 t=14314
hua wei 	華爲	c=0 d=0.1 t=11973
hua xiao 	花銷	c=1 d=1.04176 t=12879
hua yu 	華語	c=1 d=1 t=5941
hua yuan 	花園	c=1 d=1 t=4705
hua zhi 	畫質	c=1 d=1 t=8110
huai 	壞	c=0 d=0.1 t=426
huai de 	壞的	c=1 d=1 t=10439
huai diao 	壞掉	c=0 d=0.1 t=9092
huai diao le 	壞掉了	c=2 d=1.84366 t=9127
huai le 	壞了	c=4 d=1.8827 t=9134
huai le bei ban 	壞了背板	c=1 d=1 t=9135
huai le yi kuai 	壞了一塊	c=1 d=1 t=4133
huai nian 	懷念	c=0 d=0.1 t=2137
huai tou le 	壞透了	c=3 d=2.865 t=10478
huai xi guan 	壞習慣	c=1 d=1 t=14258
huai yi kuai ying pan 	壞一塊硬盤	c=1 d=1 t=427
huai yun 	懷孕	c=1 d=1 t=2791
huai zhong 	壞種	c=1 d=1 t=13307
huan 	換	c=7 d=0.100326 t=10817
huan 	還	c=0 d=0.1 t=12893
huan bei ban 	換背板	c=1 d=0.995834 t=9281
huan bi 	環比	c=2 d=1.00054 t=10372
huan cheng 	換成	c=3 d=1.0005 t=15197
huan cun 	緩存	c=0 d=0.1 t=108
huan cun zhi lei 	緩存之類	c=1 d=1 t=109
huan ge 	換個	c=1 d=1 t=9633
huan ge she bei shi yi xia 	換個設備試一下	c=1 d=1 t=94
huan hang 	換行	c=1 d=1 t=8169
huan hui lai 	換回來	c=1 d=1 t=14036
huan jie 	換屆	c=1 d=1 t=11076
huan jie 	緩解	c=1 d=1 t=11075
huan jing bian liang 	環境變量	c=1 d=1 t=6753
huan kuai xin de jiu shi 	換塊新的就是	c=1 d=1 t=2803
huan le 	換了	c=2 d=1.03936 t=9212
huan le 	還了	c=1 d=1 t=12154
huan le zhu ban ba 	換了主板吧	c=1 d=1 t=766
huan ni 	還你	c=1 d=1.056 t=8073
huan shou lv 	換手率	c=0 d=0.1 t=11162
huan shou lv hen da 	換手率很大	c=1 d=1 t=11163
huan wan 	換完	c=4 d=1 t=9193
huan wan 	環烷	c=1 d=1 t=4127
huan yi xia ba 	換一下吧	c=1 d=1 t=6687
huan yi zhong 	換一種	c=1 d=1 t=4529
huan ying 	歡迎	c=1 d=1 t=9108
huan ying xin 	歡迎新	c=0 d=0.1 t=11888
huan ying xin ren 	歡迎新人	c=1 d=1 t=11889
huang 	黃	c=0 d=0.1 t=9732
huang hou 	皇后	c=0 d=0.1 t=5939
huang hou da dao 	皇后大道	c=2 d=1.98511 t=5943
huang lao shi 	黃老師	c=3 d=2.13111 t=7806
huang men ji 	黃燜雞	c=1 d=1 t=6075
huang men shu cai 	黃燜蔬菜	c=1 d=1 t=9733
huang xian 	黃線	c=1 d=1 t=6520
hui 	回	c=3 d=0.116992 t=8260
hui 	會	c=10 d=0.805389 t=14618
hui bu hui 	會不會	c=6 d=1 t=10124
hui bu qu 	回不去	c=0 d=0.1 t=9020
hui bu qu le 	回不去了	c=1 d=1 t=9021
hui cai 	燴菜	c=1 d=1 t=647
hui da 	回答	c=1 d=1 t=5826
hui fu 	回覆	c=2 d=0.674376 t=16099
hui fu 	恢復	c=2 d=1 t=14060
hui fu xia 	回覆下	c=1 d=0.1 t=8873
hui fu yi xia 	回覆一下	c=1 d=1 t=12085
hui ji yi 	會記憶	c=1 d=1 t=205
hui jia 	回家	c=7 d=1.99501 t=12519
hui jia chi 	回家喫	c=1 d=1 t=7789
hui jia le 	回家了	c=2 d=1 t=13810
hui jia le me 	回家了麼	c=1 d=1 t=1022
hui kao lv zuo 	會考慮做	c=1 d=1 t=14542
hui kuan 	匯款	c=0 d=0.1 t=15154
hui kuan jie tu 	匯款截圖	c=2 d=1.99501 t=15156
hui lai 	回來	c=0 d=0.1 t=7784
hui lai ba 	回來吧	c=0 d=0.1 t=15324
hui lai chi 	回來喫	c=1 d=1 t=7785
hui lai le 	回來了	c=2 d=1 t=6319
hui le 	毀了	c=1 d=1 t=7072
hui ma shi 	燴麻食	c=1 d=1 t=8081
hui nuan 	回暖	c=0 d=0.1 t=8859
hui nuan le 	回暖了	c=1 d=1 t=8860
hui qu 	回去	c=24 d=1.15621 t=13448
hui qu 	會去	c=0 d=0.1 t=12575
hui qu kan 	回去看	c=1 d=1 t=5498
hui qu le 	回去了	c=0 d=0.1 t=3586
hui qu shuo 	回去說	c=1 d=1 t=10443
hui qu xie zai 	回去卸載	c=1 d=1 t=1377
hui qu zuo 	回去做	c=1 d=1 t=9444
hui shang 	會上	c=2 d=1.90484 t=2766
hui shi bai 	會失敗	c=1 d=1 t=13266
hui shou dao 	會受到	c=1 d=1 t=2962
hui sun huai ying pan me 	會損壞硬盤麼	c=1 d=1 t=6545
hui suo 	會所	c=1 d=1.13627 t=13802
hui suo li 	會所裏	c=1 d=1 t=13803
hui tou 	回頭	c=2 d=0.103837 t=2682
hui tou ke yi mai dian 	回頭可以買點	c=1 d=1 t=2683
hui tou yi kan 	回頭一看	c=1 d=1 t=3186
hui tui 	回退	c=3 d=2.86337 t=14893
hui tui le 	回退了	c=1 d=1 t=14851
hui xian shi 	會顯示	c=1 d=1 t=3463
hui yi 	回憶	c=1 d=1.099 t=13702
hui yi 	會意	c=1 d=1 t=10685
hui yi 	會議	c=1 d=1 t=10686
hui ying 	回應	c=1 d=1 t=11183
hui ying xiang 	會影響	c=1 d=1 t=11876
hui you 	會有	c=6 d=1 t=15484
hui yuan 	會員	c=1 d=0.100667 t=9641
hui zai 	會在	c=1 d=1 t=8103
hui zen me yang 	會怎麼樣	c=1 d=1 t=3816
hui zi dong 	會自動	c=1 d=1 t=201
hun 	混	c=0 d=0.1 t=11895
hun he 	混合	c=1 d=1 t=193
hun li 	婚禮	c=0 d=0.1 t=2092
huo 	或	c=1 d=1 t=6434
huo 	活	c=5 d=1.00047 t=15747
huo 	火	c=1 d=1 t=9977
huo 	貨	c=1 d=1.03946 t=15414
huo de 	活得	c=1 d=1 t=1934
huo dong 	活動	c=5 d=0.106329 t=14093
huo dong hai you me 	活動還有麼	c=1 d=1 t=14094
huo dong nei rong 	活動內容	c=0 d=0.1 t=13322
huo dong nei rong ne 	活動內容呢	c=1 d=1 t=13323
huo dong xia 	活動下	c=2 d=1 t=7618
huo er 	活兒	c=0 d=0.1 t=13473
huo er me 	活兒麼	c=1 d=1 t=13474
huo hua 	火化	c=0 d=0.1 t=3432
huo hua yi ti 	火化遺體	c=1 d=1 t=3433
huo qu 	獲取	c=6 d=1 t=15915
huo wei 	貨位	c=4 d=2.12804 t=15599
huo zhe 	或者	c=39 d=1.00371 t=16020
huo zhe bu hao 	或者不好	c=1 d=1 t=12410
huo zhuo 	活捉	c=0 d=0.1 t=3304
huo zhuo da lao 	活捉大佬	c=1 d=1 t=3305
ji 	即	c=0 d=0.1 t=12315
ji 	及	c=1 d=1 t=16174
ji 	基	c=0 d=0.1 t=10342
ji 	急	c=0 d=0.1 t=11461
ji 	機	c=3 d=1.00002 t=15140
ji ben 	基本	c=5 d=0.1 t=14400
ji ben bu yao 	基本不要	c=1 d=1 t=810
ji ben dou shi 	基本都是	c=1 d=1 t=14401
ji ben shang 	基本上	c=4 d=1.25666 t=13523
ji bie 	級別	c=1 d=1 t=12706
ji bu qing le 	記不清了	c=1 d=1 t=12745
ji chang 	機場	c=2 d=1.91425 t=9592
ji che 	機車	c=1 d=1 t=1544
ji cheng 	集成	c=1 d=1 t=8715
ji chu 	基礎	c=2 d=1.77557 t=13427
ji chu 	擠出	c=0 d=0.100259 t=13347
ji chu le 	擠出了	c=1 d=1 t=12157
ji chu ming ling 	基礎命令	c=1 d=1 t=13425
ji chu shou 	急出手	c=1 d=1 t=11462
ji chu zai 	基礎在	c=1 d=1 t=2045
ji ci 	幾次	c=1 d=1 t=10315
ji cuo 	記錯	c=0 d=0.1 t=2196
ji dan 	雞蛋	c=4 d=0.1 t=13489
ji dan bu xin xian le 	雞蛋不新鮮了	c=1 d=1 t=7710
ji de 	寄的	c=1 d=1 t=8731
ji de 	記得	c=8 d=0.949875 t=16195
ji dian 	基點	c=0 d=0.1 t=13130
ji du 	季度	c=0 d=0.1 t=12732
ji e 	飢餓	c=2 d=1.99501 t=3910
ji fang 	機房	c=1 d=1 t=5512
ji fen de 	積分的	c=0 d=0.1 t=572
ji fen de hua 	積分的話	c=1 d=1 t=573
ji fen zhong 	幾分鐘	c=2 d=1.90155 t=1312
ji fu 	季付	c=8 d=1.36092 t=9791
ji ge 	幾個	c=4 d=1 t=15605
ji ge ren 	幾個人	c=0 d=0.1 t=15264
ji hang 	幾行	c=1 d=1 t=286
ji he pi er 	基和皮爾	c=2 d=1.00625 t=11358
ji hua 	計劃	c=1 d=1 t=6818
ji hui 	機會	c=1 d=1 t=4215
ji jiang 	即將	c=1 d=1 t=11145
ji jie 	季節	c=0 d=0.1 t=11331
ji ke 	即可	c=1 d=1 t=9659
ji kuai 	雞塊	c=1 d=1 t=4031
ji kuai qian 	幾塊錢	c=1 d=1 t=12754
ji le 	急了	c=2 d=1.00456 t=12040
ji liang 	脊樑	c=0 d=0.1 t=11106
ji lu 	記錄	c=6 d=1.03112 t=15904
ji lu pian 	紀錄片	c=5 d=4.57559 t=8673
ji qi 	機器	c=40 d=1.39563 t=15350
ji qi shang 	機器上	c=1 d=1 t=1762
ji ran 	寂然	c=1 d=1 t=4502
ji ran 	既然	c=1 d=1 t=4503
ji rou 	雞肉	c=2 d=1.956 t=4015
ji shang 	寄上	c=0 d=0.1 t=8282
ji shang le 	寄上了	c=1 d=1 t=8283
ji shi 	及時	c=1 d=1 t=7168
ji shi ben 	記事本	c=1 d=1 t=4893
ji shi kuai qian 	幾十塊錢	c=0 d=0.1 t=1147
ji shi kuai qian le 	幾十塊錢了	c=1 d=1 t=1148
ji shu 	基數	c=1 d=1 t=9381
ji shu han liang 	技術含量	c=1 d=1 t=5967
ji shui 	擊水	c=0 d=0.1 t=4256
ji shui 	積水	c=1 d=1 t=4259
ji shui wen ti 	擊水問題	c=1 d=1 t=4257
ji suan 	計算	c=0 d=0.1 t=14722
ji suan jia gong 	計算加工	c=1 d=1 t=14723
ji tai 	幾臺	c=0 d=0.1 t=12933
ji tian 	幾天	c=1 d=1 t=11585
ji tiao 	幾條	c=1 d=1 t=5714
ji tuan 	集團	c=1 d=1 t=8295
ji wa 	雞娃	c=1 d=1 t=4398
ji xia 	幾下	c=0 d=0.1 t=11651
ji xiang 	機箱	c=1 d=1 t=16177
ji xie 	機械	c=0 d=0.1 t=11735
ji xie ying pan 	機械硬盤	c=1 d=1 t=6307
ji xing 	機型	c=1 d=1 t=12630
ji xu 	繼續	c=0 d=0.100258 t=8788
ji xu fang wen 	繼續訪問	c=1 d=1 t=7597
ji xu yong 	繼續用	c=1 d=1 t=8790
ji yang 	幾樣	c=0 d=0.1 t=3702
ji yi 	記憶	c=1 d=1.1 t=204
ji yong 	急用	c=0 d=0.1 t=2967
ji yong de hua 	急用的話	c=1 d=1 t=2968
ji yu 	基於	c=1 d=1 t=14687
ji zai 	記在	c=0 d=0.1 t=9979
ji zhe 	擠着	c=0 d=0.1 t=14434
ji zhe ta 	擠着她	c=1 d=1 t=14435
ji zhi 	機制	c=1 d=1 t=3025
ji zhong 	集中	c=1 d=1 t=4800
ji zhong jing shen 	集中精神	c=1 d=1 t=497
ji zhu le 	記住了	c=1 d=1 t=2425
jia 	假	c=1 d=0.191393 t=11345
jia 	價	c=4 d=1.00229 t=15091
jia 	加	c=3 d=0.231994 t=15497
jia 	夾	c=1 d=1 t=16132
jia 	嫁	c=0 d=0.1 t=11152
jia 	家	c=1 d=1 t=13929
jia 	架	c=0 d=0.1 t=10300
jia ban 	加班	c=0 d=0.1 t=10001
jia bi liang 	架鼻樑	c=1 d=1 t=10301
jia bu liao 	加不了	c=1 d=1 t=9585
jia de 	加的	c=0 d=0.1 t=7485
jia dian 	家電	c=1 d=1 t=9400
jia ge 	價格	c=5 d=1.00096 t=16152
jia ge 	加個	c=0 d=0.131982 t=9780
jia ge hai ke yi 	價格還可以	c=1 d=1 t=12924
jia ge shi 	價格是	c=1 d=1 t=14111
jia ge wei 	價格爲	c=2 d=1.99501 t=15204
jia ge wei xin 	加個微信	c=1 d=1 t=9781
jia ge wei xin bu 	加個微信不	c=1 d=1 t=9553
jia gong 	加工	c=0 d=0.1 t=14722
jia gu wen 	甲骨文	c=1 d=1 t=15261
jia hao 	加號	c=1 d=1 t=16138
jia jin qu 	加進去	c=2 d=1 t=9200
jia le 	加了	c=3 d=1.99517 t=11310
jia le ge 	加了個	c=1 d=1 t=8416
jia li 	家裏	c=12 d=1.0001 t=15907
jia li de 	家裏的	c=2 d=1.00005 t=13842
jia li de ye bie chi le 	家裏的也別吃了	c=1 d=1 t=6190
jia liang 	加量	c=1 d=1 t=6793
jia qi 	假期	c=2 d=1.00006 t=8034
jia quan 	加權	c=1 d=1 t=6517
jia ru 	加入	c=1 d=1.09465 t=9675
jia ru cheng gong le 	加入成功了	c=1 d=1 t=9665
jia shang 	加上	c=5 d=0.100668 t=14474
jia shang ba 	加上吧	c=1 d=0.100036 t=2415
jia shang ge 	加上個	c=1 d=1 t=5876
jia shang le 	加上了	c=1 d=1 t=8097
jia shen me 	加什麼	c=1 d=1 t=12621
jia ting 	家庭	c=1 d=0.1 t=14086
jia ting ban 	家庭版	c=1 d=1 t=14106
jia ting cheng yuan 	家庭成員	c=1 d=1 t=9532
jia ting tao can 	家庭套餐	c=1 d=1 t=14087
jia ting ying yin 	家庭影音	c=1 d=1 t=3466
jia ting zu 	家庭組	c=2 d=1.87372 t=9703
jia xi 	加息	c=1 d=1 t=13130
jia yi 	加一	c=0 d=0.1 t=9545
jia yi ge 	加一個	c=1 d=1 t=8105
jia yi xia 	加一下	c=1 d=1.00484 t=9566
jia yong 	家用	c=1 d=1 t=15402
jia you 	加油	c=4 d=1.9852 t=10178
jia zhe ge 	加這個	c=1 d=1 t=8740
jia zhuang 	假裝	c=0 d=0.1 t=11501
jia zhuang da dian hua 	假裝打電話	c=1 d=1 t=11502
jia zu 	家族	c=0 d=0.1 t=11270
jian 	建	c=0 d=0.1 t=11776
jian 	煎	c=1 d=1.0006 t=2596
jian 	見	c=0 d=0.1 t=12803
jian biao 	建表	c=2 d=1.89137 t=5191
jian ce 	檢測	c=8 d=1.06612 t=15776
jian cha yi xia 	檢查一下	c=1 d=1 t=9150
jian chi 	堅持	c=0 d=0.100017 t=3884
jian chi xia lai de ne 	堅持下來的呢	c=1 d=1 t=2146
jian dan 	簡單	c=0 d=0.165705 t=5235
jian dan dian le 	簡單點了	c=1 d=1 t=5236
jian er you zhi 	兼而有之	c=1 d=1 t=13214
jian ge 	建個	c=2 d=1 t=11775
jian guo 	堅果	c=0 d=0.1 t=14986
jian guo 	見過	c=0 d=0.100016 t=3858
jian guo de 	見過的	c=1 d=1 t=3859
jian guo yun 	堅果暈	c=1 d=1 t=14987
jian hao 	建好	c=0 d=0.1 t=5208
jian hao biao 	建好表	c=1 d=1 t=5209
jian jiao 	建交	c=1 d=1 t=3442
jian kang 	健康	c=2 d=1 t=8185
jian kong 	監控	c=4 d=0.141378 t=15760
jian la ji 	撿垃圾	c=1 d=1 t=10433
jian li 	建立	c=1 d=1 t=13119
jian li 	簡歷	c=3 d=1.96079 t=13616
jian ni 	見你	c=0 d=0.1 t=2122
jian niu pai chi 	煎牛排喫	c=1 d=1 t=1574
jian shao 	減少	c=1 d=1 t=11813
jian ting 	堅挺	c=0 d=0.1 t=12686
jian ting a 	堅挺啊	c=1 d=1 t=12687
jian xia 	減下	c=0 d=0.1 t=3646
jian xia qu 	減下去	c=1 d=1 t=3647
jian yi 	建一	c=0 d=0.1 t=5198
jian yi 	建議	c=2 d=0.1 t=13374
jian yi ge 	建一個	c=3 d=1 t=16130
jian yi ge biao 	建一個表	c=1 d=1 t=5207
jian yi yong feng 	建議永封	c=1 d=1 t=13375
jian zhi 	兼職	c=1 d=1 t=10466
jiang 	講	c=0 d=0.1 t=11865
jiang hu 	江湖	c=0 d=0.1 t=1090
jiang hu jiu ji 	江湖救急	c=2 d=1 t=8059
jiang ji 	降級	c=0 d=0.1 t=15032
jiang ji le 	降級了	c=1 d=1 t=15033
jiang jiang 	將將	c=1 d=1 t=14421
jiang le 	降了	c=0 d=0.1 t=11457
jiang le bu shao 	降了不少	c=1 d=1 t=11458
jiang li 	獎勵	c=1 d=1.00193 t=13011
jiang li de 	獎勵的	c=1 d=1 t=12222
jiang ming bai 	講明白	c=1 d=1 t=11866
jiang xia 	講下	c=1 d=1 t=8115
jiao 	交	c=1 d=0.100003 t=10284
jiao 	叫	c=1 d=1 t=8675
jiao 	腳	c=1 d=1 t=2069
jiao ben 	腳本	c=2 d=1 t=14637
jiao cheng 	教程	c=16 d=2.29125 t=15870
jiao de 	交的	c=1 d=1 t=9396
jiao dian 	交點	c=1 d=0.1 t=11264
jiao dian 	叫點	c=1 d=1 t=1044
jiao dian wai mai 	交點外賣	c=1 d=1 t=11265
jiao du 	角度	c=1 d=1 t=14979
jiao fu 	教父	c=1 d=1 t=12636
jiao huan ji 	交換機	c=5 d=3.7269 t=9279
jiao jiao 	教教	c=0 d=0.1 t=8881
jiao le 	交了	c=0 d=0.1 t=2498
jiao liu 	交流	c=0 d=0.1 t=1264
jiao shen me 	叫什麼	c=1 d=1 t=11771
jiao wai mai 	叫外賣	c=1 d=1 t=9300
jiao yan 	校驗	c=0 d=0.1 t=454
jiao yan pan 	校驗盤	c=1 d=1 t=455
jiao yi 	交易	c=1 d=0.109221 t=12217
jiao yi 	教益	c=1 d=1 t=11049
jiao yi de 	交易的	c=1 d=1 t=12218
jiao yi xia 	交一下	c=1 d=1 t=10285
jiao you 	交由	c=1 d=1 t=13417
jiao zi 	餃子	c=1 d=1 t=11862
jie 	姐	c=0 d=0.1 t=4265
jie 	戒	c=1 d=1.00001 t=13139
jie 	接	c=0 d=0.1 t=12083
jie 	節	c=0 d=0.1 t=13595
jie 	街	c=1 d=1 t=9306
jie 	解	c=0 d=0.1 t=10418
jie bu jie shou 	接不接受	c=1 d=1 t=12084
jie chu 	接觸	c=0 d=0.1 t=12069
jie chu dao 	接觸到	c=1 d=1 t=5555
jie dao 	接到	c=1 d=1.09005 t=12657
jie dian 	借點	c=0 d=0.1 t=8046
jie dian 	節電	c=1 d=1.09753 t=11993
jie dian 	節點	c=8 d=0.365811 t=12259
jie dian me 	節點麼	c=2 d=1 t=9779
jie dian ne 	節點呢	c=1 d=1 t=98
jie dian qian 	借點錢	c=1 d=1 t=8047
jie dian wen ti 	節電問題	c=1 d=1 t=11989
jie du 	解讀	c=1 d=1 t=725
jie feng 	解封	c=2 d=1.98511 t=12128
jie ge 	借個	c=0 d=0.1 t=9688
jie ge tu 	借個圖	c=1 d=0.1 t=14899
jie guo 	結果	c=7 d=1 t=15634
jie hun 	結婚	c=1 d=1.07298 t=2087
jie hun le 	結婚了	c=1 d=1 t=9005
jie hun shen me de 	結婚什麼的	c=1 d=1 t=2025
jie ji 	接濟	c=1 d=1 t=14404
jie ji 	階級	c=1 d=1 t=13312
jie jue 	解決	c=3 d=1 t=10986
jie jue bu liao 	解決不了	c=1 d=1 t=8479
jie jue fang an 	解決方案	c=1 d=1 t=7960
jie kai 	解開	c=1 d=1 t=1640
jie kou 	接口	c=3 d=1.92774 t=11604
jie le 	借了	c=0 d=0.1 t=1494
jie le ba san 	借了把傘	c=1 d=1 t=1495
jie lun 	結論	c=1 d=1 t=6899
jie ma 	接碼	c=1 d=1 t=622
jie ma 	解碼	c=7 d=2.86327 t=8638
jie mian 	界面	c=2 d=1 t=15806
jie mu 	節目	c=1 d=1 t=14967
jie qi 	節氣	c=1 d=1 t=8033
jie qian 	節前	c=1 d=1 t=6538
jie shao 	介紹	c=0 d=0.1 t=13692
jie shou 	接受	c=0 d=0.1 t=12083
jie shou 	接收	c=1 d=1 t=15705
jie shou bu liao 	接受不了	c=1 d=1 t=2320
jie shou cheng du 	接受程度	c=1 d=1 t=12549
jie tu 	截圖	c=2 d=0.156135 t=15154
jie wang xian zhong 	接網線中	c=1 d=1 t=1609
jie xi 	解析	c=1 d=0.94087 t=5131
jie xi yi xia 	解析一下	c=1 d=1 t=5132
jie ya 	解壓	c=0 d=0.1 t=30
jie ya hou 	解壓後	c=2 d=1.94176 t=43
jie yi 	介意	c=1 d=1 t=12783
jin 	近	c=0 d=0.1 t=12068
jin 	進	c=0 d=0.1 t=11253
jin 	金	c=0 d=0.1 t=14267
jin 	錦	c=0 d=0.1 t=15286
jin bi 	金幣	c=1 d=1 t=565
jin chen 	金辰	c=2 d=1.99501 t=6253
jin er xing 	金二星	c=2 d=1.76721 t=14321
jin ge mao 	近個毛	c=1 d=1 t=6421
jin kuai 	儘快	c=1 d=1 t=10927
jin liang 	儘量	c=1 d=1 t=10754
jin liang dou man zu 	儘量都滿足	c=1 d=1 t=7165
jin nian 	今年	c=3 d=1.0889 t=13356
jin pan 	金盤	c=0 d=0.1 t=11007
jin pan zhuan 	金盤轉	c=1 d=1 t=11008
jin qian 	金錢	c=0 d=0.1 t=10100
jin qian yu wo 	金錢與我	c=2 d=1.99501 t=10102
jin qian zhi wai 	金錢之外	c=1 d=1 t=2693
jin qu 	進去	c=1 d=0.1 t=14100
jin qu de 	進去的	c=1 d=1 t=5581
jin qu le 	進去了	c=3 d=1 t=7498
jin ri 	今日	c=2 d=1.86936 t=7720
jin shi yan shi 	進實驗室	c=1 d=1 t=2168
jin tian 	今天	c=22 d=1.02576 t=14264
jin tian bu shi 	今天不是	c=1 d=1 t=3426
jin tian hui 	今天會	c=0 d=0.1 t=12657
jin tian hui jie dao 	今天會接到	c=1 d=1 t=12658
jin tian hui qu 	今天回去	c=3 d=1 t=13399
jin tian jiu sheng ri le 	今天就生日了	c=1 d=1 t=1929
jin tian shao wei 	今天稍微	c=1 d=1 t=1018
jin tian wan shang 	今天晚上	c=1 d=1 t=13440
jin tian xia le ban jiu fang le 	今天下了班就放了	c=1 d=1 t=10154
jin tian ye deng bu shang 	今天也等不上	c=1 d=1 t=3145
jin tian zuo le 	今天做了	c=1 d=1 t=4185
jin wan 	今晚	c=1 d=1.09005 t=5
jin wan kai shi 	今晚開始	c=1 d=1 t=6
jin xing 	進行	c=3 d=1.00232 t=14632
jin xing zhong 	進行中	c=1 d=1 t=7354
jin ye lu 	錦業路	c=7 d=2.56636 t=15295
jin ye yi lu 	錦業一路	c=2 d=1.92312 t=15303
jin yong 	禁用	c=2 d=1 t=14626
jin zhan 	進展	c=3 d=1.44406 t=13507
jin zhe ge 	進這個	c=1 d=1 t=4766
jing 	淨	c=1 d=1 t=2048
jing chang 	經常	c=0 d=0.1 t=15977
jing chang gen ta kai hui 	經常跟他開會	c=1 d=1 t=15978
jing chang huan 	經常換	c=1 d=1 t=1191
jing dong 	京東	c=5 d=1.22943 t=16165
jing dong 	驚動	c=2 d=1.99501 t=9843
jing dong yun 	京東雲	c=7 d=5.80633 t=15877
jing dou 	京豆	c=2 d=1.94176 t=9847
jing guo 	經過	c=1 d=1 t=13619
jing li 	精力	c=0 d=0.1 t=9823
jing shen 	精神	c=0 d=0.1 t=496
jing xiang 	景象	c=1 d=1 t=9854
jing xiang 	鏡像	c=2 d=1 t=13065
jing xiang tui jian 	鏡像推薦	c=1 d=1 t=10011
jing yan 	經驗	c=3 d=1.00896 t=14188
jing yan bi jiao feng fu 	經驗比較豐富	c=1 d=1 t=6952
jing zheng 	競爭	c=0 d=0.1 t=10165
jiu 	就	c=65 d=1.11173 t=16292
jiu ba 	就把	c=1 d=1 t=756
jiu bian 	就便	c=0 d=0.1 t=12493
jiu bie chi le 	就別吃了	c=2 d=1.00092 t=7555
jiu bu 	就不	c=0 d=0.1 t=9496
jiu bu ai chi 	就不愛喫	c=1 d=1 t=5310
jiu bu neng 	就不能	c=1 d=1 t=1298
jiu bu xing a 	就不行啊	c=1 d=1 t=7754
jiu bu yao 	就不要	c=1 d=1 t=5484
jiu bu yi yang le 	就不一樣了	c=1 d=1 t=1903
jiu bu ying gai 	就不應該	c=1 d=1 t=4589
jiu bu yong 	就不用	c=1 d=1 t=5673
jiu can le 	就慘了	c=1 d=1 t=13155
jiu cha 	就差	c=0 d=0.1 t=1312
jiu cha bu duo 	就差不多	c=2 d=1 t=14269
jiu cha ji fen zhong 	就差幾分鐘	c=1 d=1 t=1313
jiu chi 	就喫	c=3 d=0.1 t=6719
jiu da 	就打	c=0 d=0.1 t=15735
jiu da bu kai 	就打不開	c=1 d=1 t=12190
jiu da lian le 	就打臉了	c=1 d=1 t=15736
jiu dai 	就帶	c=1 d=1 t=13493
jiu dei 	就得	c=2 d=0.680307 t=1398
jiu dei shao chi zhu shi 	就得少喫主食	c=1 d=1 t=5584
jiu deng 	久等	c=1 d=1 t=4140
jiu dian 	就點	c=1 d=1 t=7203
jiu fan wo 	就返我	c=1 d=1 t=12758
jiu fang qi le 	就放棄了	c=1 d=1 t=4434
jiu fen kai 	就分開	c=1 d=1 t=10413
jiu gai 	就該	c=1 d=1 t=10801
jiu gan jue 	就感覺	c=1 d=1 t=8321
jiu ge ren er yan 	就個人而言	c=1 d=1 t=10781
jiu gen zhe 	就跟着	c=1 d=1 t=13809
jiu gou le 	就夠了	c=1 d=1 t=12451
jiu gu yi xia 	就鼓一下	c=1 d=1 t=11649
jiu hao 	就好	c=6 d=1 t=16216
jiu hao ba 	就好吧	c=1 d=1 t=1067
jiu hao le 	就好了	c=5 d=1.00001 t=12600
jiu hao ling le 	就好領了	c=1 d=1 t=10530
jiu he 	糾合	c=1 d=1 t=6012
jiu hen 	就很	c=0 d=0.1 t=2183
jiu hen bu cuo le 	就很不錯了	c=1 d=1 t=2184
jiu hen hao le 	就很好了	c=1 d=1 t=1585
jiu hen nan 	就很難	c=1 d=1 t=2026
jiu hui 	就會	c=2 d=1 t=9827
jiu hui gen 	就會跟	c=1 d=1 t=3440
jiu hui you 	就會有	c=0 d=0.1 t=576
jiu hui you le 	就會有了	c=1 d=1 t=577
jiu ji 	救急	c=0 d=0.1 t=1090
jiu ji 	救濟	c=0 d=0.1 t=11577
jiu ji fen zhong er yi 	就機分鐘而已	c=1 d=1 t=1347
jiu ji yi xia 	救濟一下	c=1 d=1 t=11578
jiu jiao 	就叫	c=0 d=0.1 t=4730
jiu jiao wai mai 	就叫外賣	c=1 d=1 t=4731
jiu jie 	糾結	c=2 d=1 t=8374
jiu kao jia li 	就靠家裏	c=1 d=1 t=14403
jiu ke yi 	就可以	c=21 d=1.10582 t=14040
jiu ke yi ba 	就可以吧	c=2 d=1 t=13513
jiu ke yi da kai 	就可以打開	c=1 d=1 t=4894
